#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_176	31	25	15	23	25	22	44	26	21	23	37	19	26	29	36	31	29	48
OTU_177	36	22	22	32	29	25	40	33	23	27	31	49	59	37	43	36	26	45
OTU_178	2	1	2	0	5	5	6	4	2	5	13	16	3	4	7	5	3	0
OTU_179	7	2	3	3	0	0	6	3	7	2	6	3	5	7	4	6	1	1
OTU_18	9	7	2	2	1	3	17	8	12	5	4	7	4	10	7	0	1	9
OTU_181	15	20	8	11	36	22	8	15	10	12	17	20	21	21	17	57	22	20
OTU_182	1	1	1	1	0	0	1	3	0	1	0	2	2	0	0	1	0	0
OTU_183	9	1	5	2	1	4	6	3	3	6	4	6	1	3	8	2	2	4
OTU_184	18	19	15	35	29	36	21	16	26	18	22	14	28	33	32	25	25	30
OTU_186	14	15	14	11	4	11	18	10	15	13	7	15	11	13	14	11	8	23
OTU_187	3	1	10	3	1	0	4	1	2	0	2	3	1	0	2	2	0	3
OTU_188	3	3	3	3	2	4	10	14	12	9	6	6	6	9	12	11	12	5
OTU_19	6	5	6	4	4	9	11	6	12	9	10	18	13	9	12	7	3	12
OTU_190	3	7	4	1	9	3	4	3	1	3	1	3	3	8	2	8	2	3
OTU_191	4	3	5	0	1	0	27	5	6	2	7	14	5	1	1	3	5	3
OTU_192	5	5	2	8	3	9	5	4	8	6	8	6	17	4	10	8	4	7
OTU_193	7	6	1	7	1	3	0	0	2	2	0	2	2	10	2	4	9	5
OTU_194	96	134	19	44	51	74	136	76	77	69	102	131	81	52	102	64	81	93
OTU_196	3	1	2	4	1	3	2	0	2	1	2	3	1	0	6	4	3	2
OTU_197	21	8	4	3	6	7	35	19	15	24	33	13	35	35	31	34	19	22
OTU_198	20	12	24	2	5	6	24	7	11	8	7	15	12	18	33	13	9	10
OTU_2	0	7	0	0	0	0	5	6	2	0	2	2	0	0	0	4	0	0
