OTUId	BIO3-1	ori3	BIO3-16	BIO1-16	BIO3-24	ori2	BIO1-24	ori1	BIO2-16	BIO3-8	BIO2-1	BIO2-24	BIO1-1	BIO1-8	BIO2-8
OTU_1392	17	38	7	3	3	36	2	17	3	2	17	5	18	1	1
OTU_2480	41	153	1	4	0	139	1	163	0	7	31	0	33	2	5
OTU_197	102	426	63	50	58	340	51	237	64	5	109	45	97	10	14
OTU_232	123	207	3	2	2	178	4	142	5	1	54	2	60	0	2
OTU_527	38	93	1	1	0	114	1	65	3	3	31	1	31	3	0
OTU_1222	56	131	2	3	1	165	7	99	9	3	39	6	48	5	2
OTU_303	26	115	2	2	2	278	1	52	3	2	27	0	16	7	4
OTU_3286	24	234	2	0	0	157	5	96	2	0	22	5	15	3	3
OTU_225	45	298	3	7	7	258	3	139	6	5	48	4	38	0	7
OTU_1703	5	15	4	6	4	10	2	8	3	3	7	3	4	0	2
OTU_3340	1	4	3	2	1	4	1	1	5	0	3	1	3	3	2
OTU_2523	7	1	7	5	4	4	2	5	3	1	1	1	8	1	2
OTU_771	17	47	1	3	7	32	5	27	1	1	13	4	13	2	0
OTU_310	0	2	4	97	15	2	151	2	80	1	1	107	4	9	6
OTU_3155	23	69	6	2	0	53	3	33	2	2	20	0	17	0	2
OTU_683	9	63	1	2	2	47	0	37	7	0	11	0	7	0	4
OTU_292	34	176	1	3	1	157	1	193	4	5	48	3	26	0	3
OTU_1066	0	5	0	0	0	7	0	13	0	0	2	0	2	0	0
OTU_984	0	15	0	0	0	19	0	4	0	0	4	0	4	0	0
OTU_2899	5	25	0	2	0	28	0	17	0	0	10	0	9	0	1
OTU_261	49	98	142	135	148	85	186	68	179	23	42	138	53	20	17
OTU_422	31	47	0	0	2	55	0	20	1	2	33	2	22	1	1
OTU_2766	7	15	0	2	0	11	2	12	0	2	3	0	3	1	3
OTU_639	15	51	0	0	1	45	0	27	1	1	11	1	7	1	0
OTU_1309	0	1	9	9	4	1	6	1	6	0	1	4	0	1	0
OTU_416	5	58	3	6	1	94	0	32	3	5	11	1	11	0	2
OTU_2909	16	95	0	0	0	87	0	80	1	1	18	0	16	0	3
OTU_378	9	72	1	0	1	77	1	119	1	1	17	1	14	0	2
OTU_1563	1	2	3	0	1	1	2	2	0	1	0	0	4	0	1
OTU_860	15	47	2	0	3	58	1	57	2	0	16	0	21	3	2
OTU_629	87	585	1	3	0	518	1	543	0	1	157	3	111	2	0
OTU_67	346	1465	16	11	7	1184	14	729	7	18	270	13	235	8	13
OTU_553	3	39	0	0	0	27	0	41	2	1	7	0	3	1	2
OTU_3221	44	67	13	10	27	53	20	63	11	2	32	22	37	1	4
OTU_462	44	84	31	38	40	88	95	60	42	36	37	31	36	26	33
OTU_3018	14	53	1	1	0	54	0	16	1	1	4	2	7	1	2
OTU_1616	3	15	1	2	0	5	1	3	0	1	1	0	7	2	2
OTU_1645	5	18	0	1	1	14	0	10	1	0	5	3	2	2	2
OTU_365	15	117	0	5	2	125	1	65	2	2	21	1	24	1	1
OTU_135	42	386	0	0	0	566	0	356	0	3	90	0	61	1	0
OTU_2038	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0
OTU_395	9	80	0	4	3	69	5	68	3	4	12	0	8	0	1
OTU_582	0	1	13	16	22	0	15	1	36	0	0	12	0	1	0
OTU_483	10	33	5	10	6	26	6	28	5	2	9	4	16	5	6
OTU_356	53	145	6	4	3	210	2	143	7	1	64	5	52	1	6
OTU_183	120	343	0	3	5	281	1	208	2	5	77	5	128	1	3
OTU_238	61	217	6	4	6	242	0	144	1	5	30	3	41	2	3
OTU_554	12	11	9	14	11	12	4	13	8	6	16	8	10	11	14
OTU_1290	6	9	1	0	2	1	0	2	8	1	4	0	7	1	2
OTU_654	6	29	0	0	2	41	0	21	0	2	10	0	13	2	0
OTU_2600	6	45	1	2	0	55	1	45	3	0	9	0	6	2	0
OTU_242	49	664	10	11	4	590	9	361	7	4	53	11	68	5	8
OTU_3488	8	32	0	1	0	22	8	15	5	1	4	4	7	1	0
OTU_306	45	164	1	3	1	105	0	86	3	4	26	2	50	3	0
OTU_2732	21	0	33	39	30	0	38	2	40	40	43	37	21	30	36
OTU_1296	41	103	39	25	32	94	30	57	28	20	50	28	46	21	24
OTU_816	1	21	1	0	0	26	0	6	0	0	4	0	0	1	0
OTU_184	196	425	124	115	169	409	127	349	144	114	217	122	201	109	111
OTU_240	48	276	30	12	38	200	9	179	16	8	55	6	40	14	16
OTU_637	3	28	0	0	0	36	0	20	1	1	2	0	7	0	0
OTU_2059	22	75	0	1	1	74	0	89	2	0	13	5	7	0	0
OTU_1751	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0
OTU_179	53	482	0	0	0	419	0	384	0	0	92	0	44	0	0
OTU_315	51	163	5	4	2	146	3	93	1	4	42	1	28	1	5
OTU_3723	92	142	73	76	87	120	67	87	73	50	75	51	80	27	38
OTU_598	24	243	3	1	2	214	3	189	0	6	24	0	36	2	5
OTU_1367	4	11	32	43	257	20	82	16	28	11	5	42	1	15	16
OTU_204	50	374	1	3	5	276	5	206	3	1	47	3	47	6	1
OTU_2049	3	0	3	0	2	33	3	0	3	5	2	1	1	3	2
OTU_340	30	132	6	12	12	129	19	83	22	9	27	12	28	12	9
OTU_429	11	83	2	0	4	75	0	49	0	1	8	2	19	1	0
OTU_199	41	281	6	2	3	344	2	206	2	2	57	0	54	2	3
OTU_193	92	313	5	6	6	385	7	217	1	10	78	4	95	12	7
OTU_3683	3	30	0	1	0	37	0	18	0	0	0	0	2	0	0
OTU_1098	0	6	2	2	2	2	3	5	2	1	4	3	1	2	2
OTU_859	2	10	0	0	0	21	1	5	2	0	3	0	3	0	0
OTU_344	44	215	2	0	0	207	2	150	2	5	31	0	30	3	2
OTU_871	1	6	0	0	0	13	1	19	0	1	0	0	3	0	1
OTU_641	4	12	11	8	3	9	45	10	9	3	2	3	1	0	2
OTU_1741	79	263	12	4	4	251	19	176	13	1	65	7	74	9	5
OTU_588	9	27	6	4	4	29	7	22	4	1	17	2	10	4	4
OTU_729	9	16	3	1	2	21	0	12	0	3	9	0	12	1	3
OTU_465	8	49	0	0	0	83	4	49	2	0	12	1	12	0	1
OTU_457	10	57	0	1	1	69	3	52	1	1	3	4	22	1	1
OTU_3599	0	2	0	0	0	2	0	1	0	0	4	0	0	0	0
OTU_390	16	106	2	3	2	167	2	174	2	2	21	1	10	4	0
OTU_548	15	39	5	1	0	53	0	49	1	2	14	0	8	0	0
OTU_1126	6	14	0	0	0	13	0	8	0	0	2	0	2	0	0
OTU_1401	0	4	2	0	7	5	7	1	4	0	0	3	1	0	0
OTU_559	12	16	8	4	9	16	4	20	8	7	10	10	10	6	6
OTU_428	20	96	0	1	0	120	0	189	0	0	21	0	35	0	1
OTU_283	121	45	17	13	20	52	14	27	5	4	129	13	100	7	8
OTU_436	9	98	1	0	1	92	0	59	4	0	16	1	9	1	1
OTU_2070	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_524	13	24	6	5	9	22	7	24	6	6	10	4	9	12	10
OTU_323	34	129	5	4	3	147	3	91	4	3	36	29	34	2	4
OTU_578	10	23	9	8	4	34	9	13	10	6	8	4	14	5	6
OTU_2681	31	103	3	0	0	87	0	62	1	1	36	4	26	1	2
OTU_1210	2	31	0	0	0	19	0	8	0	0	7	0	3	0	0
OTU_520	14	76	0	0	1	78	0	53	1	0	9	1	10	0	0
OTU_433	31	61	28	21	25	59	14	23	22	11	28	17	21	11	11
OTU_185	67	96	29	19	28	107	439	61	33	22	52	32	35	29	22
OTU_839	4	15	0	1	0	9	0	17	0	0	4	2	1	0	1
OTU_358	30	196	4	1	0	199	2	135	4	3	28	0	30	0	3
OTU_2138	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0
OTU_1617	1	6	0	0	0	2	0	1	0	0	0	0	1	0	0
OTU_770	46	383	7	9	10	304	4	206	7	10	30	5	36	6	12
OTU_425	11	54	1	0	0	93	0	68	0	0	20	1	12	0	0
OTU_327	30	168	0	2	2	134	1	97	1	0	36	1	23	1	0
OTU_362	10	64	1	0	0	75	0	89	3	3	20	2	13	1	4
OTU_241	51	248	5	2	13	255	3	189	2	3	42	2	39	0	2
OTU_623	15	18	29	17	35	24	20	18	12	5	9	21	13	10	9
OTU_353	21	198	2	2	0	201	2	171	2	0	29	1	28	1	1
OTU_233	60	230	1	3	3	227	2	159	8	11	60	2	47	4	3
OTU_924	8	0	0	0	0	5	0	6	0	0	10	0	8	0	0
OTU_317	51	179	14	5	11	110	2	96	9	7	35	3	30	4	6
OTU_459	15	159	1	3	2	113	3	98	2	1	8	0	9	0	2
OTU_2887	26	91	0	3	1	66	1	33	0	2	13	0	8	3	3
OTU_597	6	17	10	10	14	14	9	9	9	8	6	5	3	7	5
OTU_2037	7	29	2	2	4	40	2	14	13	6	12	2	6	4	6
OTU_326	40	59	14	27	25	50	23	38	27	9	38	18	30	14	19
OTU_499	7	45	1	1	0	64	0	51	1	0	8	1	6	0	0
OTU_321	40	120	2	1	2	138	0	73	2	3	50	2	37	0	2
