OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_2089	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unclassified	Unclassified
OTU_2090	Bacteria	BRC1	Unclassified	Unclassified	Unclassified	BRC1 genera incertae sedis	Unclassified
OTU_2091	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Unclassified
OTU_2092	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas/Armatimonadetes gp1	Unclassified
OTU_2093	Bacteria	Acidobacteria	Acidobacteria Gp4	Unclassified	Unclassified	Gp4	Unclassified
OTU_2094	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Vampirovibrio	Unclassified
OTU_2095	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinocatenispora	Unclassified
OTU_2096	Bacteria	Acidobacteria	Acidobacteria Gp3	Unclassified	Unclassified	Gp3	Unclassified
OTU_2097	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Unclassified	Unclassified
OTU_2098	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3 genera incertae sedis	Unclassified
OTU_2099	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Unclassified
OTU_2100	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
OTU_2101	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria incertae sedis	Unclassified	Geminicoccus	Unclassified
OTU_2102	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Unclassified	Unclassified
OTU_2104	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	Unclassified
OTU_2105	Bacteria	Acidobacteria	Acidobacteria Gp16	Unclassified	Unclassified	Gp16	Unclassified
OTU_2106	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	Unclassified
OTU_2107	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea	Unclassified
OTU_2108	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Spartobacteria genera incertae sedis	Unclassified
OTU_2109	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Unclassified
OTU_2110	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_2111	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2112	Archaea	Thaumarchaeota	Unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Unclassified
OTU_2113	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unclassified	Unclassified	Unclassified
OTU_2114	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Unclassified
OTU_2115	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2116	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Unclassified
OTU_2117	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unclassified	Unclassified
OTU_2118	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2119	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Haliea	Unclassified
OTU_2120	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Rubrivirga	Unclassified
OTU_2121	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2122	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Unclassified
OTU_2123	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2124	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2125	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2126	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Cohnella	Unclassified
OTU_2127	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Unclassified	Unclassified	Unclassified
OTU_2128	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Unclassified
OTU_2129	Archaea	Thaumarchaeota	Unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Unclassified
OTU_2130	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria incertae sedis	Unclassified	Geminicoccus	Unclassified
OTU_2131	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2132	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2133	Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Unclassified
OTU_2135	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Unclassified
OTU_2136	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Unclassified	Unclassified
OTU_2137	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobineae incertae sedis	Aciditerrimonas	Unclassified
OTU_2138	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Unclassified
OTU_2139	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
OTU_2140	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unclassified
OTU_2141	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2142	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Unclassified
OTU_2143	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Unclassified
OTU_2144	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2145	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2146	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	Unclassified
OTU_2147	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Unclassified	Unclassified
OTU_2148	Bacteria	Bacteroidetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2149	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2150	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
OTU_2151	Bacteria	Acidobacteria	Acidobacteria Gp4	Unclassified	Unclassified	Aridibacter	Unclassified
OTU_2152	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unclassified	Unclassified
OTU_2153	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2154	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unclassified	Ohtaekwangia	Unclassified
OTU_2155	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Incertae Sedis XI	Parvimonas	Unclassified
OTU_2156	Bacteria	Hydrogenedentes	Unclassified	Unclassified	Unclassified	Candidatus Hydrogenedens	Unclassified
OTU_2157	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Unclassified
OTU_2158	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2159	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2160	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2161	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Unclassified
OTU_2162	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_2163	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Unclassified	Unclassified
OTU_2164	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Unclassified	Unclassified	Unclassified
OTU_2165	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2166	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Unclassified
OTU_2167	Bacteria	Firmicutes	Clostridia	Clostridiales	Unclassified	Unclassified	Unclassified
OTU_2168	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia	Unclassified
OTU_2169	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	Kallotenue	Unclassified
OTU_2170	Bacteria	Chloroflexi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2171	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2172	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2173	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Ornithinimicrobium	Unclassified
OTU_2174	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
