OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	A	B	C	All
OTU_12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_terrae	0.6484876	1.2520043	0.9116549	0.93738229691221
OTU_16	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	0.7271781	0.8176970	1.0594900	0.868121666771325
OTU_18	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Lentzea_flaviverrucosa	0.6353214	0.7070503	0.9751780	0.772516576328278
OTU_28	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinocorallia	Unassigned	0.6358906	0.6289997	0.9193971	0.728095817860732
OTU_19	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Lentzea_flaviverrucosa	0.7393195	0.6315700	0.6530967	0.674662077109846
OTU_20	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis_umgeniensis	0.5837199	0.3167191	1.0594128	0.653283951915422
OTU_31	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned	0.5815138	0.6681721	0.6336710	0.62778561689244
OTU_33	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Unassigned	0.4320893	0.6426553	0.6976503	0.590798283730867
OTU_25	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinophytocola	Unassigned	0.6757654	0.4661981	0.5673998	0.56978776856544
OTU_21	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Kribbella	Kribbella_flavida	0.4854082	0.4975593	0.7004396	0.561135680821695
OTU_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.6244108	0.5547272	0.4761157	0.55175123335007
OTU_26	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinophytocola	Unassigned	0.4319869	0.5858621	0.5896487	0.535832578774414
OTU_24	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.8500940	0.3434221	0.3944957	0.529337254943827
OTU_23	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	Unassigned	0.7331244	0.2918978	0.5568034	0.527275199896913
OTU_27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_icense	0.5054948	0.5409206	0.4844874	0.510300946309586
OTU_29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unassigned	Unassigned	0.6173547	0.3609111	0.5388327	0.505699507692104
OTU_30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Unassigned	Unassigned	0.5168817	0.4824229	0.4721410	0.490481856434536
OTU_32	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	Kinneretia_asaccharophila	0.4000163	0.5087829	0.5137265	0.474175219900474
OTU_1227	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Kineosporia	Kineosporia_rhamnosa	0.3142906	0.4334225	0.6511408	0.466284617272607
OTU_35	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.4486598	0.4135638	0.5280652	0.463429581399456
OTU_36	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.5275854	0.3668828	0.4850143	0.459827502236604
OTU_43	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.2375193	0.9913705	0.1285374	0.45247573210317
OTU_37	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Unassigned	Unassigned	0.3038537	0.4546195	0.5934500	0.450641070529295
OTU_47	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.5383099	0.3709710	0.4163076	0.441862841697334
OTU_1128	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora	Unassigned	0.3546373	0.4283926	0.4920451	0.42502499161244
OTU_38	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.3688149	0.3250081	0.5447631	0.412862020017133
OTU_39	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.5884781	0.2730597	0.3464057	0.40264784511006
OTU_41	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.6926980	0.2046032	0.3065273	0.401276147762506
OTU_42	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Unassigned	0.4760987	0.3267302	0.3846971	0.395841994987533
OTU_46	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Unassigned	0.3133123	0.4357081	0.4378173	0.395612580834525
OTU_45	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	Unassigned	0.4373508	0.2687457	0.3908377	0.365644728444072
OTU_69	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium_phytohabitans	0.8093220	0.1166433	0.1704565	0.36547395874465
OTU_48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer_adhaerens	0.3498139	0.4545630	0.2845064	0.362961108389795
OTU_44	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Kinneretia	Kinneretia_asaccharophila	0.5381561	0.2139545	0.3295981	0.360569571557798
OTU_40	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Unassigned	0.1148502	0.3442619	0.6213491	0.360153719512836
OTU_50	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.5446970	0.1779471	0.3529579	0.358534015586872
OTU_547	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Piscinibacter	Piscinibacter_aquaticus	0.2354144	0.3405537	0.4681550	0.348041043465063
OTU_49	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Lentzea_albida	0.2988325	0.3130627	0.4286254	0.34684019510216
OTU_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.3265596	0.3577970	0.3406042	0.34165358000115
OTU_85	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.4655822	0.2476911	0.2821233	0.331798867657737
OTU_51	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned	0.4668292	0.3775972	0.1245173	0.322981239121374
OTU_53	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Unassigned	0.3187393	0.3249930	0.3183786	0.320703637244682
OTU_54	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.4214374	0.3184896	0.2031517	0.314359562869314
OTU_57	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.3043368	0.2902649	0.3461447	0.313582144239112
OTU_593	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Unassigned	0.3769007	0.2660169	0.2773560	0.306757852054173
OTU_71	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Unassigned	0.4050320	0.2288884	0.2838849	0.305935105274957
OTU_56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Unassigned	0.4061291	0.2476701	0.2485239	0.300774379054188
OTU_59	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.3326407	0.2929542	0.2717161	0.299103699323833
OTU_62	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Unassigned	0.3829895	0.2068003	0.2561146	0.281968127747766
OTU_67	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.1016544	0.6054302	0.1056917	0.270925427494516
OTU_428	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.3410212	0.1857473	0.2732505	0.266672967484297
OTU_60	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.3796010	0.1719342	0.2485260	0.266687073267757
OTU_61	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.2507997	0.2426719	0.2939200	0.26246385740378
OTU_65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned	0.2453753	0.2826190	0.2219573	0.249983846385618
OTU_63	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium_lituiforme	0.3602848	0.1631456	0.2119724	0.245134251016058
OTU_77	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_denitrificans	0.1823233	0.2748570	0.2762937	0.244491332616596
OTU_66	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia_mobilis	0.1651181	0.3229711	0.2236933	0.237260807103217
OTU_94	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.3119917	0.1823933	0.1976739	0.230686312767263
OTU_72	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax_paradoxus	0.1807425	0.1885720	0.3160901	0.228468207357775
OTU_70	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas_gei	0.3304068	0.1824904	0.1650065	0.225967893654828
OTU_73	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.3964060	0.1183443	0.1588268	0.224525704723236
OTU_74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_icense	0.2375631	0.2189891	0.2009115	0.219154570736358
OTU_79	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0.3205350	0.1592473	0.1776912	0.21915781073577
