OTUID	B1	B1D1	B1D2	B1D3	B1D4	B1D5	B1L1	B1L2	B1L3	B1L4	B1L5	B1R1	B1R2	B1R3	B1R4	B1R5	B1U1	B1U2	B1U3	B1U4	B1U5	B2	B2D1	B2D2	B2D3	B2D4	B2D5	B2L1	B2L2	B2L3	B2L4	B2L5	B2R1	B2R2	B2R3	B2R4	B2R5	B2U1	B2U2	B2U3	B2U4	B2U5	B3	B3D1	B3D2	B3D3	B3D4	B3D5	B3L1	B3L2	B3L3	B3L4	B3L5	B3R1	B3R2	B3R3	B3R4	B3R5	B3U1	B3U2	B3U3	B3U4	B3U5	T0	T0D1	T0D2	T0D3	T0D4	T0D5	T0D6	T0L1	T0L2	T0L3	T0L4	T0L5	T0L6	T0R1	T0R2	T0R3	T0R4	T0R5	T0R6	T0U1	T0U2	T0U3	T0U4	T0U5	T0U6	T1	T1D1	T1D2	T1D3	T1D4	T1D5	T1D6	T1L1	T1L2	T1L3	T1L4	T1L5	T1L6	T1R1	T1R2	T1R3	T1R4	T1R5	T1R6	T1U1	T1U2	T1U3	T1U4	T1U5	T1U6	DL1	DL10	DL30	DL5	DL75	DR1	DR10	DR30	DR5	DR75	HA0	UL1	UL10	UL30	UL5	UL75	UR1	UR10	UR30	UR5	UR75
OTU_67843	29	13	38	8	8	44	37	39	9	13	65	6	30	48	0	1	7	33	58	2	26	0	0	0	0	1	3	19	0	1	3	7	0	2	0	19	4	0	0	15	0	16	9	3	7	9	2	3	6	4	9	2	5	4	4	4	62	27	4	4	0	47	0	4	4	6	1	8	7	6	1	5	12	7	3	0	2	3	0	3	2	9	4	3	1	0	1	2	1	0	8	1	2	5	0	7	3	0	0	0	2	7	17	3	2	0	271	1	1	2	7	17	5	625	207	584	94	35	186	157	59	221	287	298	700	372	208	355	132	221	249	137	292	239
OTU_139	41	23	14	24	20	52	12	15	24	26	27	39	38	25	7	9	31	33	38	52	20	22	30	41	32	45	18	34	27	27	64	60	26	35	40	59	18	28	21	17	29	4	9	15	7	17	6	32	9	15	15	12	11	3	6	9	19	12	6	4	8	16	14	10	12	14	20	6	5	2	14	12	7	6	9	6	8	15	4	10	6	7	8	4	7	4	6	7	18	7	7	12	12	12	3	11	21	4	15	1	5	14	10	12	7	3	6	14	21	4	10	11	5	23	16	19	32	15	38	28	18	47	36	6	1	28	41	12	47	34	53	27	82	55
OTU_88773	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	1	4	1	0	1	0	1	2	2	0	0	2	1	4	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	3	2	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	13	3	2	4	5	5	4	11	10	6	8	7	6	8	9	1	3	0	7
OTU_620	4	3	4	3	2	0	3	21	1	2	4	2	2	1	0	14	0	3	0	0	4	0	0	0	1	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	15	1	1	5	0	5	49	0	2	12	23	15	0	3	29	41	0	1
OTU_476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	46	29	92	89	55	16	12	37	11	50	45	76	36	27	35	20	22	29	17	29
OTU_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	41	193	0	15	0	1	0	0	0	17	0	14	9	1	16	0	1	0	0	22
OTU_26952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	4	8	5	14	25	2	49	7	9	4	15	6	7	8	8	10	4	34	7
OTU_23642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	1	3	1	0	0	0	0	0	2	1	2	0
OTU_30857	3	12	9	9	1	0	3	5	5	0	0	2	3	0	0	0	15	3	4	0	6	0	1	2	2	0	1	7	0	3	0	1	0	0	2	0	0	0	1	0	2	0	4	4	0	2	0	7	8	6	0	12	1	2	0	1	3	7	2	7	0	1	1	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	24	21	18	3	13	13	21	8	23	20	27	21	6	15	37	12	12	10	9	4
OTU_346	2	2	4	13	23	0	0	8	6	17	0	11	21	18	23	2	11	16	4	17	8	1	10	12	0	0	0	2	1	10	1	1	4	3	6	0	46	0	3	6	5	0	22	27	12	7	10	0	47	27	14	19	4	32	2	44	0	45	36	24	23	1	7	1	0	2	13	0	0	0	1	0	0	0	0	1	4	2	0	1	0	0	3	2	15	0	0	0	0	0	0	1	0	2	0	1	1	0	2	0	0	0	4	1	5	0	0	0	5	0	0	0	0	5	4	14	16	11	12	6	6	8	3	18	17	9	8	8	12	6	2	4	5	6
OTU_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	3	1	1	1	0	0	1	1	1	4	0	0	2	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	3	1	0	1	1	2	2	0	0	57	10	7	78	48	90	22	0	100	28	28	10	153	254	26	68	21	78	24	139	4
OTU_10	19	14	47	5	6	5	98	14	12	18	21	17	33	37	3	4	8	7	9	4	11	3	5	4	5	9	4	3	2	4	13	4	1	7	4	15	5	11	11	21	3	4	4	7	6	15	7	14	27	13	18	17	9	20	37	10	5	10	4	12	2	13	15	7	4	1	7	1	3	0	4	1	0	5	4	3	5	4	0	5	1	5	3	2	3	2	3	3	1	1	3	7	3	2	1	6	1	0	3	0	5	5	6	5	2	0	3	0	6	4	7	2	2	173	899	158	84	233	232	350	15	277	497	756	855	996	1269	910	46	183	290	206	277	8
OTU_1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	2	0	0	0	0	0	1	11	8	14	8	11	9	5	11	6	10	7	12	11	10	7	17	5	11	1	11	18
OTU_22888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	8	0	1	0	2	0	2	0	14	0	2	0	2	9	0	1	0	6	3
OTU_1207	6	8	5	0	0	0	2	6	4	1	3	1	7	4	3	3	3	2	6	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	1	0	2	3	4	12	1	5	2	0	2	7	24	11	5	3	6	9	2	0	6	2	0	0
OTU_34	21	60	35	37	20	49	26	27	27	43	39	73	33	25	8	3	60	27	80	23	29	9	53	58	42	71	26	48	13	27	28	37	39	30	53	24	18	34	30	21	37	5	15	34	21	25	3	13	24	35	20	23	9	18	13	28	19	19	13	35	6	29	32	6	8	7	17	9	4	4	3	10	7	8	10	15	3	16	9	11	7	11	4	9	7	8	12	8	10	7	8	20	14	11	2	16	12	4	2	0	8	9	13	14	8	13	6	5	7	11	9	12	10	22	18	26	20	10	26	23	22	24	26	19	30	20	20	20	22	11	17	12	16	5
OTU_32463	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	7	0	3	6	1	2	5	4	4	3	14	5	0	0	7	2	3	0
OTU_905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	16	8	4	7	3	1	18	0	7	0	4	16	1	2	2	4	7	2	4
OTU_85962	3	2	0	1	0	0	0	1	0	0	1	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	1	3	0	0	2	4	1	1	7	12	1	0	0	4	2	0	1
OTU_305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	24	55	3	26	5	7	0	3	0	37	45	26	9	13	21	5	7	1	10	3
OTU_429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	2	11	52	4	14	17	13	5	3	37	22	32	38	28	33	38	13	79	4	34
OTU_25	34	32	52	24	39	16	41	46	29	34	54	13	39	49	14	14	25	20	26	17	38	0	10	3	4	14	9	12	0	15	11	5	3	1	2	33	18	13	8	60	46	9	28	34	24	44	39	33	41	23	41	19	30	20	24	41	68	13	19	38	7	113	43	11	8	7	7	22	18	18	3	20	19	9	26	11	6	16	9	10	27	30	15	13	5	24	12	13	53	8	51	32	27	21	8	19	17	3	13	5	21	10	13	19	19	22	21	18	7	15	33	29	12	283	214	158	210	56	204	121	72	137	227	258	399	138	81	263	51	176	92	82	65	60
