Sample	MC	NH	NO3	N	C	K	P	pH	Cnratio
T1R2	1.95 	13.01 	0.96 	0.22 	2.39 	126.90 	7.22 	6.49 	10.71 
T1R3	1.65 	13.55 	1.00 	0.24 	2.65 	118.60 	4.05 	6.49 	10.92 
T1R4	1.89 	13.25 	1.11 	0.24 	2.82 	103.25 	5.52 	6.54 	11.60 
T1R5	1.41 	16.24 	1.07 	0.24 	2.78 	99.68 	37.93 	6.25 	11.71 
T1R6	2.10 	12.87 	0.92 	0.20 	2.25 	112.70 	5.99 	6.55 	11.05 
T1U1	1.48 	16.27 	1.19 	0.21 	2.10 	113.35 	6.97 	6.51 	10.15 
T1U2	2.51 	4.47 	2.17 	0.13 	1.20 	84.99 	13.74 	6.57 	9.40 
T1U3	1.49 	14.80 	1.71 	0.29 	3.24 	138.10 	8.52 	6.32 	11.37 
T1U4	1.86 	21.12 	1.36 	0.31 	3.60 	139.45 	5.33 	6.27 	11.62 
T1U5	2.65 	11.27 	1.14 	0.21 	2.13 	142.40 	14.61 	6.55 	9.94 
T1U6	1.68 	14.82 	1.19 	0.26 	2.91 	166.60 	13.27 	6.36 	11.20 
DL1	11.39 	2.76 	20.16 	0.03 	0.43 	71.68 	17.20 	5.63 	13.80 
DL10	12.48 	1.93 	19.84 	0.04 	0.42 	71.37 	13.40 	5.63 	11.37 
DL30	16.11 	1.20 	20.32 	0.04 	0.64 	73.41 	17.60 	5.66 	17.35 
DL5	13.61 	1.72 	19.88 	0.03 	0.45 	100.12 	15.40 	5.49 	13.04 
DL75	15.40 	4.13 	26.16 	0.07 	0.93 	78.54 	16.40 	5.48 	13.00 
DR1	12.70 	0.95 	19.68 	0.05 	0.39 	76.65 	9.60 	5.38 	7.62 
DR10	14.34 	0.94 	20.64 	0.03 	0.44 	74.51 	13.40 	5.46 	13.19 
DR30	15.05 	0.16 	19.28 	0.04 	0.48 	194.48 	14.60 	6.78 	12.53 
DR5	16.41 	1.40 	21.32 	0.05 	0.56 	100.10 	10.80 	5.55 	11.98 
DR75	23.88 	4.40 	19.28 	0.07 	0.72 	109.59 	15.40 	5.34 	10.82 
HA0	14.77 	1.57 	21.84 	0.05 	0.43 	57.07 	8.60 	5.51 	9.15 
UL1	12.24 	2.20 	21.04 	0.04 	0.41 	59.56 	10.80 	5.63 	11.21 
UL10	13.45 	1.51 	23.28 	0.04 	0.49 	64.81 	12.80 	5.63 	12.52 
UL30	14.59 	2.37 	22.80 	0.08 	0.82 	78.18 	11.40 	5.66 	10.79 
UL5	13.67 	2.74 	21.60 	0.03 	0.42 	66.24 	8.80 	5.49 	12.77 
UL75	12.45 	2.15 	19.28 	0.05 	0.56 	111.68 	10.80 	5.48 	10.84 
UR1	12.34 	0.48 	18.92 	0.02 	0.34 	82.61 	12.80 	5.78 	13.98 
UR10	16.03 	2.04 	20.60 	0.05 	0.67 	96.52 	13.80 	5.54 	14.19 
UR30	14.91 	2.10 	21.80 	0.06 	0.74 	96.24 	12.60 	5.38 	13.19 
UR5	14.65 	3.83 	22.56 	0.06 	0.69 	83.68 	7.40 	5.45 	11.28 
UR75	17.73 	1.56 	20.48 	0.07 	0.62 	125.37 	12.00 	6.29 	9.24 
