 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_1826	1	7	4	0	2	0	1	2	1	29	24	23	0	2	1	0	2	0
OTU_565	3	4	4	0	7	4	2	3	2	1	2	5	2	8	4	4	1	2
OTU_1885	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
OTU_1020	2	6	2	0	1	1	0	0	0	2	0	1	0	0	0	0	1	0
OTU_767	2	1	3	2	0	1	3	1	0	0	0	2	0	1	0	1	3	3
OTU_1154	3	6	8	5	3	3	1	5	1	4	3	7	0	3	1	2	0	0
OTU_968	0	0	0	1	2	0	1	4	5	1	1	1	2	1	4	0	0	0
OTU_450	0	2	1	1	0	1	9	38	13	0	1	0	1	0	1	0	2	0
OTU_604	27	29	11	4	4	2	2	2	5	38	41	13	5	3	0	15	12	29
OTU_959	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	1	1
OTU_961	3	1	0	1	2	2	4	2	1	1	1	1	0	2	0	1	3	2
OTU_2577	6	1	5	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0
OTU_630	3	0	3	1	0	1	0	2	4	0	4	1	0	2	2	4	5	7
OTU_727	2	1	4	0	2	0	1	2	1	7	6	2	3	0	3	0	1	2
OTU_1580	2	4	4	0	0	0	0	0	0	6	2	5	0	0	0	1	0	2
OTU_478	0	0	0	0	0	0	0	25	0	0	0	1	0	0	1	0	0	0
OTU_656	1	2	5	3	3	4	3	5	2	4	3	3	0	0	1	2	2	3
OTU_535	4	4	5	5	8	4	8	5	4	7	10	4	3	3	5	2	6	3
OTU_856	3	0	1	0	0	0	0	0	1	6	9	8	0	0	0	0	0	2
OTU_2203	4	3	1	9	5	4	10	11	21	3	0	1	0	4	6	1	8	1
OTU_1353	1	1	1	2	0	0	0	3	0	4	1	3	4	1	0	2	0	2
OTU_617	6	3	1	4	8	3	3	5	4	4	2	2	3	2	5	3	4	3
OTU_2746	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	3	5
OTU_488	0	0	0	0	0	0	0	2	1	0	0	0	1	21	5	1	6	3
OTU_1805	2	10	16	2	4	5	1	6	11	0	2	0	0	0	0	0	0	3
