$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
39     0.5565147     0.5025455     0.10612524   4.75310126398436          1
40     0.5268302     0.5319811     0.11163240   3.82024902811888          1
41     0.6049048     0.4501819     0.09106677   4.55466201847756          1
42     0.6095268     0.4462158     0.09145236   4.04005891322414          1
43     0.6415501     0.4906605     0.20607997   3.47649130285347          1
44     0.5952006     0.4356233     0.05178745   4.20892920401204          1
45     0.5336893     0.5342966     0.12738848   4.06996145955961          1
46     0.6032804     0.8065131     0.51228297  -1.31482892482598       -0.9
47     0.6395970     0.5171350     0.24504813   3.07120966961795          1
48     0.6120598     0.4436981     0.09109884   4.84152555872866          1
49     0.6040106     0.4551948     0.09802047   4.22487103323984          1
50     0.5380956     0.5336167     0.13327059   3.83123422313784          1
51     0.6896403     0.3661891     0.08095433   5.94764920249531          1
52     0.6302113     0.5115584     0.22495592    3.2250851651739          1
53     0.5434253     0.5180496     0.11312490   4.86329726199689          1
54     0.5181897     0.5391030     0.11056315   3.90777072190264          1
55     0.6334315     0.4468733     0.12677739   4.18100249950474          1
56     0.6450259     0.4311351     0.11807427   3.76045396950921          1
57     0.6636502     0.8480421     0.77102718  0.561292441674966        0.2
58     0.6187256     0.4230298     0.06748622    4.9906755078562          1
59     0.5713955     0.4943738     0.11510297   4.58468380413946          1
60     0.6069381     0.5605654     0.27598109   3.20310581968072          1
61     0.6767568     0.8786889     0.82074638  0.501444229990264        0.5
62     0.6443628     0.4273718     0.11132643   4.79497499678545          1
63     0.5117125     0.6013415     0.22093254   2.62044296264713          1
64     0.6091218     0.5764761     0.30469747   2.46888113761952          1
65     0.5631891     0.4862531     0.08778981   3.85185374229269          1
66     0.5070635     0.8643385     0.73245660  0.664056627336882        0.4
67     0.5227185     0.7517078     0.52499820   1.29082479744653        0.9
68     0.5789965     0.5182666     0.16798565   2.95110649154099          1
69     0.5869313     0.5143677     0.17259091   3.30248208798457          1
70     0.5825451     0.4640144     0.07992434   4.35212213539165          1
71     0.5828551     0.4667517     0.08511015   4.93490123867924          1
72     0.5092713     0.5989710     0.21254340   2.90684427483455          1
73     0.5791108     0.4690293     0.08312768   4.06342191767733          1
74     0.5978869     0.4529869     0.08508930   4.20897729857983          1
75     0.6018626     0.6162593     0.36241135   2.25151533129293          1
76     0.5313685     0.6606227     0.36131461    2.8684469843528          1
77     0.5220429     0.5519964     0.14182603   3.91609935449196          1
78     0.5069952     0.7233815     0.45439614   1.67940760843323        0.9
79     0.4900830     0.7163778     0.42127708   2.12819790280257          1
80     0.5658050     0.5915575     0.27812146   2.98024697489727          1
81     0.5637665     0.6471409     0.37410423   2.09221104131507          1
82     0.5630267     0.4881162     0.09083558    3.7394288293434          1
83     0.5573002     0.4952325     0.09426289   4.83600096882375          1
84     0.5300194     0.9331461     0.85775171 -0.528178304117778       -0.5
85     0.5254924     0.5371747     0.11925399   3.53733492938036          1
86     0.5445563     0.5159074     0.11103311   4.23474402947041          1
87     0.5585317     0.5628062     0.21724438   3.30135240820701          1
88     0.6177996     0.4271070     0.07268794   4.49422091514509          1
89     0.5224069     0.7797608     0.57841448   1.57870579590227          1
90     0.5487300     0.6568634     0.37467128   2.32027760915174          1
91     0.6307345     0.4937558     0.19737356   3.43524001392669          1
92     0.6458935     0.4866969     0.20528206    3.3625879752655          1
93     0.6449565     0.4025915     0.07372272   4.95026579692845          1
94     0.5959552     0.4978330     0.15737459   4.51275653104315          1
95     0.5443714     0.6389779     0.33680930   2.40300585240967          1
96     0.6160185     0.4308562     0.07609286   6.20600055592125          1
97     0.6800562     0.3676677     0.07017635   6.01351794264994          1
98     0.6508391     0.8276243     0.73514844  0.780326317261679        0.4
99     0.5012645     0.5584194     0.11906672   4.11078884985154          1
100    0.5128190     0.5347584     0.09277610    3.4975742540732          1
101    0.5965161     0.4645761     0.10241505    4.7028291020355          1
102    0.6304275     0.4246489     0.08736358   4.88154910228358          1
103    0.5903401     0.5377663     0.21700433   2.94539188838345          1
