OUT	SH2	SH3	SH4	SP1	SP2	SP3
OTU1055	0	0	0	0	0	0
OTU1056	0	0	0	0	0	0
OTU1057	0	0	2	0	0	0
OTU1058	0	0	0	2	0	0
OTU1059	3	0	0	4	0	0
OTU106	5	7	6	15	4	6
OTU1060	0	0	0	0	0	0
OTU1061	0	0	2	1	0	0
OTU1062	0	0	0	0	0	2
OTU1063	0	0	0	0	0	9
OTU1064	0	2	0	0	0	0
OTU1065	0	0	0	0	0	3
OTU1066	0	0	0	0	2	0
OTU1067	0	0	0	1	0	0
OTU1068	0	0	0	0	0	0
OTU1069	0	0	0	0	1	0
OTU107	0	0	3	2	0	0
OTU1070	0	0	0	0	2	0
OTU1071	0	0	0	0	0	0
OTU1072	0	0	0	0	0	0
OTU1073	0	0	0	0	0	0
OTU1074	0	0	4	4	0	0
OTU1075	0	0	0	0	0	0
OTU1076	0	0	0	0	0	0
OTU1078	0	0	0	0	0	0
OTU1079	0	0	0	0	0	0
OTU108	0	0	0	2	0	20
OTU1080	3	0	7	10	3	2
OTU1081	0	0	0	1	0	0
OTU1082	0	1	1	1	2	0
OTU1083	1	1	1	1	4	1
OTU1084	6	4	9	8	2	1
OTU1085	0	1	2	0	0	0
OTU1086	0	0	0	2	0	0
OTU1087	0	0	3	0	0	1
OTU1088	0	0	3	0	0	0
OTU1089	0	2	1	0	1	0
OTU109	0	0	0	3	0	0
OTU1090	0	0	0	0	0	0
OTU1091	2	0	2	2	1	0
OTU1092	2	2	1	2	0	0
OTU1093	0	0	0	2	0	0
OTU1094	0	0	0	2	0	2
OTU1095	0	0	0	0	0	0
OTU1096	0	0	0	0	0	0
OTU1097	1	0	1	0	0	0
OTU1098	0	0	0	0	0	0
OTU1099	1	1	0	0	0	0
OTU110	1	2	0	0	0	1
OTU1100	0	0	0	0	0	0
OTU1101	1	0	0	1	0	0
OTU1102	1	1	0	11	0	51
OTU1103	0	0	0	0	0	0
OTU1104	0	0	0	0	0	0
OTU1106	0	0	0	0	0	2
OTU1107	0	0	0	0	0	0
OTU1108	0	0	0	0	0	2
OTU1109	0	0	0	0	0	0
OTU111	0	0	2	4	1	76
OTU1110	0	0	0	0	0	0
OTU1111	0	0	1	1	0	0
OTU1112	0	0	0	2	0	0
OTU1113	0	0	0	0	2	0
OTU1114	1	0	1	0	0	0
OTU1115	0	0	0	0	0	0
OTU1116	0	0	0	0	0	0
OTU1117	0	1	1	2	0	2
OTU1118	0	0	1	1	0	0
OTU1119	0	0	0	0	0	0
OTU112	0	2	2	4	0	37
OTU1120	0	0	2	0	0	0
OTU1121	0	0	2	0	0	0
OTU1122	2	0	0	0	0	0
OTU1123	3	6	7	14	3	4
OTU1124	0	0	0	0	0	0
OTU1125	0	0	0	0	0	0
OTU1126	0	0	0	0	0	3
OTU1127	0	2	0	0	0	0
OTU1128	0	0	0	0	0	1
OTU1129	2	0	0	0	1	0
OTU113	0	0	0	0	0	0
OTU1130	1	1	1	0	0	1
OTU1131	0	0	0	7	0	0
OTU1132	0	0	0	3	0	0
OTU1133	0	1	1	1	1	2
OTU1134	0	0	0	0	0	0
OTU1135	0	0	0	0	0	5
OTU1136	0	0	0	0	0	0
OTU1137	0	0	0	4	0	0
OTU1138	0	2	0	0	0	0
OTU1139	1	0	0	0	0	1
OTU114	9	6	10	14	3	10
OTU1140	0	0	1	0	0	0
OTU1141	0	0	0	2	0	0
OTU1142	6	7	9	9	4	4
OTU1143	0	0	3	0	1	1
OTU1144	2	0	0	0	0	0
OTU1145	0	0	0	0	0	0
OTU1146	0	0	2	0	0	0
OTU1147	6	1	9	10	2	6
OTU1148	0	0	0	6	0	0
OTU1149	0	0	0	0	0	0
OTU115	0	0	0	0	0	39
OTU1150	2	0	0	0	0	0
OTU1151	2	0	0	0	0	0
OTU1152	0	0	2	0	0	0
OTU1153	0	0	0	0	0	0
OTU1154	0	0	0	0	0	0
OTU1155	0	0	0	0	0	0
OTU1156	0	0	0	0	0	3
OTU1157	0	0	0	0	0	0
OTU1158	0	0	0	0	0	3
OTU1159	0	0	0	0	0	2
OTU116	0	0	0	0	0	59
OTU1160	0	0	0	0	0	0
OTU1162	0	0	1	1	0	0
OTU1163	0	0	0	0	0	0
OTU1164	0	0	0	0	0	0
OTU1165	0	0	0	0	0	0
OTU1166	1	0	1	0	0	0
OTU1167	0	0	0	1	0	0
OTU1168	2	0	0	0	0	0
OTU1169	0	0	0	0	0	0
OTU117	1	1	0	2	1	13
OTU1170	1	0	0	1	1	1
OTU1171	0	0	0	0	0	0
OTU1172	2	0	0	0	0	0
OTU1173	0	0	3	4	1	0
OTU1174	3	0	7	2	3	0
OTU1175	0	1	0	1	0	0
OTU1176	1	0	2	0	1	0
OTU1177	0	0	0	2	0	0
OTU1178	0	0	0	0	0	0
OTU1179	0	0	0	0	0	0
OTU118	0	1	0	6	0	0
OTU1180	0	2	0	0	0	0
OTU1181	5	1	3	5	0	0
OTU1182	0	0	0	0	0	2
OTU1183	0	0	0	0	0	0
OTU1184	0	0	0	0	0	0
OTU1185	0	0	0	0	0	0
OTU1186	0	0	0	6	0	0
OTU1187	0	2	0	0	0	0
